epoch,accuracy,loss,val_accuracy,val_loss
0,0.599375,0.6928547430038452,0.0,0.8407101488113403
1,0.62625,0.6568145418167114,0.0,0.8268048644065857
2,0.625,0.6579393434524536,0.0,0.8347365856170654
3,0.62625,0.6507792282104492,0.01,0.7721837329864502
4,0.624375,0.6377016472816467,0.0,1.1409418630599975
5,0.6425,0.6286052465438843,0.6425,0.671569402217865
6,0.650625,0.6191552209854126,0.2075,0.8028456282615661
7,0.67125,0.5964319705963135,0.7425,0.6435583662986756
8,0.675,0.5993841290473938,0.3825,0.832274296283722
9,0.685,0.5910188508033752,0.3475,0.7889664196968078
10,0.69375,0.5761176347732544,0.5325,0.7487578296661377
11,0.680625,0.5878205108642578,0.85,0.5851733303070068
12,0.7,0.5725832414627076,0.6925,0.6516437792778015
13,0.72375,0.5587961053848267,0.4225,0.8382636404037476
14,0.708125,0.5609492945671082,0.5475,0.7474858355522156
15,0.72625,0.5585730767250061,0.6975,0.6313338994979858
16,0.735,0.5396999073028564,0.495,0.8082361507415772
17,0.73,0.5393019819259643,0.675,0.6418917465209961
18,0.735625,0.5394647216796875,0.755,0.5961914157867432
